source_feature,target_regime,repeat,baseline_mse,permuted_mse,mse_increase,baseline_mae,permuted_mae,mae_increase,baseline_r2,permuted_r2,n_clusters
x,all,0,0.060109201818704605,0.12194507569074631,0.0618358738720417,0.11981828510761261,0.1921176165342331,0.07229933142662048,0.7544389963150024,0.501824140548706,25002
x,zero,0,0.0529191717505455,0.08092866837978363,0.02800949662923813,0.10397125780582428,0.14149440824985504,0.03752315044403076,,,13257
x,fractional,0,0.13163012266159058,0.1605711728334427,0.028941050171852112,0.2734478712081909,0.3005577027797699,0.02710983157157898,-0.1983567476272583,-0.46183526515960693,645
x,one,0,0.06454047560691833,0.16868749260902405,0.10414701700210571,0.1298176497220993,0.24627691507339478,0.11645926535129547,-80621032.0,-210716752.0,11100
x,all,1,0.060109201818704605,0.12306775152683258,0.06295854970812798,0.11981828510761261,0.19386467337608337,0.07404638826847076,0.7544389963150024,0.4972377419471741,25002
x,zero,1,0.0529191717505455,0.08240866661071777,0.02948949486017227,0.10397125780582428,0.14318232238292694,0.03921106457710266,,,13257
x,fractional,1,0.13163012266159058,0.13812750577926636,0.006497383117675781,0.2734478712081909,0.27785539627075195,0.004407525062561035,-0.1983567476272583,-0.2575087547302246,645
x,one,1,0.06454047560691833,0.17075279355049133,0.106212317943573,0.1298176497220993,0.24951523542404175,0.11969758570194244,-80621032.0,-213296640.0,11100
x,all,2,0.060109201818704605,0.12148800492286682,0.061378803104162216,0.11981828510761261,0.19213594496250153,0.07231765985488892,0.7544389963150024,0.5036913752555847,25002
x,zero,2,0.0529191717505455,0.08172515779733658,0.028805986046791077,0.10397125780582428,0.1420494168996811,0.03807815909385681,,,13257
x,fractional,2,0.13163012266159058,0.15366724133491516,0.022037118673324585,0.2734478712081909,0.2936150133609772,0.020167142152786255,-0.1983567476272583,-0.39898204803466797,645
x,one,2,0.06454047560691833,0.16710788011550903,0.1025674045085907,0.1298176497220993,0.24605873227119446,0.11624108254909515,-80621032.0,-208743584.0,11100
y,all,0,0.060109201818704605,0.11225316673517227,0.05214396491646767,0.11981828510761261,0.1841113418340683,0.06429305672645569,0.7544389963150024,0.5414179563522339,25002
y,zero,0,0.0529191717505455,0.07856276631355286,0.025643594563007355,0.10397125780582428,0.138264000415802,0.03429274260997772,,,13257
y,fractional,0,0.13163012266159058,0.14425136148929596,0.012621238827705383,0.2734478712081909,0.28354117274284363,0.01009330153465271,-0.1983567476272583,-0.31326019763946533,645
y,one,0,0.06454047560691833,0.15063107013702393,0.08609059453010559,0.1298176497220993,0.23309026658535004,0.10327261686325073,-80621032.0,-188161504.0,11100
y,all,1,0.060109201818704605,0.11023770272731781,0.050128500908613205,0.11981828510761261,0.1822933405637741,0.0624750554561615,0.7544389963150024,0.5496516227722168,25002
y,zero,1,0.0529191717505455,0.07584952563047409,0.02293035387992859,0.10397125780582428,0.13570158183574677,0.031730324029922485,,,13257
y,fractional,1,0.13163012266159058,0.13738003373146057,0.005749911069869995,0.2734478712081909,0.27676740288734436,0.0033195316791534424,-0.1983567476272583,-0.2507038116455078,645
y,one,1,0.06454047560691833,0.14973115921020508,0.08519068360328674,0.1298176497220993,0.23244932293891907,0.10263167321681976,-80621032.0,-187037376.0,11100
y,all,2,0.060109201818704605,0.11273609846830368,0.052626896649599075,0.11981828510761261,0.18508489429950714,0.06526660919189453,0.7544389963150024,0.5394451022148132,25002
y,zero,2,0.0529191717505455,0.07827229052782059,0.025353118777275085,0.10397125780582428,0.13824763894081116,0.03427638113498688,,,13257
y,fractional,2,0.13163012266159058,0.13310357928276062,0.001473456621170044,0.2734478712081909,0.27380767464637756,0.0003598034381866455,-0.1983567476272583,-0.2117711305618286,645
y,one,2,0.06454047560691833,0.15271352231502533,0.088173046708107,0.1298176497220993,0.23586826026439667,0.10605061054229736,-80621032.0,-190762800.0,11100
n_electrons_interface,all,0,0.060109201818704605,0.22617579996585846,0.16606659814715385,0.11981828510761261,0.27492043375968933,0.15510214865207672,0.7544389963150024,0.07601583003997803,25002
n_electrons_interface,zero,0,0.0529191717505455,0.19039563834667206,0.13747646659612656,0.10397125780582428,0.23134496808052063,0.12737371027469635,,,13257
n_electrons_interface,fractional,0,0.13163012266159058,0.3051726222038269,0.17354249954223633,0.2734478712081909,0.4380705952644348,0.1646227240562439,-0.1983567476272583,-1.778282642364502,645
n_electrons_interface,one,0,0.06454047560691833,0.2643185257911682,0.19977805018424988,0.1298176497220993,0.3174832761287689,0.18766562640666962,-80621032.0,-330174688.0,11100
n_electrons_interface,all,1,0.060109201818704605,0.2231830656528473,0.16307386383414268,0.11981828510761261,0.2743590474128723,0.1545407623052597,0.7544389963150024,0.08824187517166138,25002
n_electrons_interface,zero,1,0.0529191717505455,0.18889722228050232,0.13597805052995682,0.10397125780582428,0.23261980712413788,0.1286485493183136,,,13257
n_electrons_interface,fractional,1,0.13163012266159058,0.2840827405452728,0.15245261788368225,0.2734478712081909,0.4220205843448639,0.14857271313667297,-0.1983567476272583,-1.5862810611724854,645
n_electrons_interface,one,1,0.06454047560691833,0.2605926990509033,0.19605222344398499,0.1298176497220993,0.31562894582748413,0.18581129610538483,-80621032.0,-325520576.0,11100
n_electrons_interface,all,2,0.060109201818704605,0.22219499945640564,0.16208579763770103,0.11981828510761261,0.27115917205810547,0.15134088695049286,0.7544389963150024,0.0922783613204956,25002
n_electrons_interface,zero,2,0.0529191717505455,0.1860857605934143,0.1331665888428688,0.10397125780582428,0.22742468118667603,0.12345342338085175,,,13257
n_electrons_interface,fractional,2,0.13163012266159058,0.29570266604423523,0.16407254338264465,0.2734478712081909,0.4364740550518036,0.16302618384361267,-0.1983567476272583,-1.692068338394165,645
n_electrons_interface,one,2,0.06454047560691833,0.261049747467041,0.19650927186012268,0.1298176497220993,0.31378620862960815,0.18396855890750885,-80621032.0,-326091520.0,11100
drift_time_mean,all,0,0.060109201818704605,0.20567812025547028,0.14556891843676567,0.11981828510761261,0.26220008730888367,0.14238180220127106,0.7544389963150024,0.1597539186477661,25002
drift_time_mean,zero,0,0.0529191717505455,0.08094386011362076,0.028024688363075256,0.10397125780582428,0.1331782341003418,0.029206976294517517,,,13257
drift_time_mean,fractional,0,0.13163012266159058,0.18221676349639893,0.05058664083480835,0.2734478712081909,0.3063691258430481,0.03292125463485718,-0.1983567476272583,-0.6588962078094482,645
drift_time_mean,one,0,0.06454047560691833,0.35601457953453064,0.2914741039276123,0.1298176497220993,0.41372740268707275,0.28390975296497345,-80621032.0,-444717248.0,11100
drift_time_mean,all,1,0.060109201818704605,0.2043958306312561,0.1442866288125515,0.11981828510761261,0.26043203473091125,0.14061374962329865,0.7544389963150024,0.1649923324584961,25002
drift_time_mean,zero,1,0.0529191717505455,0.0802033320069313,0.027284160256385803,0.10397125780582428,0.13191983103752136,0.027948573231697083,,,13257
drift_time_mean,fractional,1,0.13163012266159058,0.1714872419834137,0.03985711932182312,0.2734478712081909,0.2973785996437073,0.023930728435516357,-0.1983567476272583,-0.561214804649353,645
drift_time_mean,one,1,0.06454047560691833,0.35463422536849976,0.2900937497615814,0.1298176497220993,0.41177040338516235,0.28195275366306305,-80621032.0,-442992992.0,11100
drift_time_mean,all,2,0.060109201818704605,0.20696081221103668,0.14685161039233208,0.11981828510761261,0.2626238763332367,0.14280559122562408,0.7544389963150024,0.15451383590698242,25002
drift_time_mean,zero,2,0.0529191717505455,0.08145306259393692,0.02853389084339142,0.10397125780582428,0.13265258073806763,0.028681322932243347,,,13257
drift_time_mean,fractional,2,0.13163012266159058,0.1711939424276352,0.03956381976604462,0.2734478712081909,0.2988295555114746,0.02538168430328369,-0.1983567476272583,-0.5585446357727051,645
