source_feature,target_regime,repeats,n_clusters,baseline_mse,permuted_mse_mean,permuted_mse_std,mse_increase_mean,mse_increase_std,mae_increase_mean,mae_increase_std
n_electrons_interface,all,3,25002,0.060109201818704605,0.22385128835837045,0.00207282038829887,0.16374208653966585,0.00207282038829887,0.15366126596927643,0.0020290164490970467
drift_time_mean,all,3,25002,0.060109201818704605,0.20567825436592102,0.0012824907951492783,0.14556905254721642,0.0012824907951492783,0.1419337143500646,0.0011625959935507473
x,all,3,25002,0.060109201818704605,0.12216694404681523,0.0008129077492273534,0.062057742228110634,0.0008129077492273557,0.07288779318332672,0.0010034146258205761
y,all,3,25002,0.060109201818704605,0.11174232264359792,0.0013252232204675578,0.05163312082489332,0.0013252232204675558,0.0640115737915039,0.0014169042123139673
drift_time_spread,all,3,25002,0.060109201818704605,0.07382648438215256,0.0010391005413415298,0.013717282563447952,0.0010391005413415298,0.016433551907539368,0.0011082289426178624
n_electrons_interface,fractional,3,645,0.13163012266159058,0.2949860095977783,0.010563189595933612,0.16335588693618774,0.010563189595933612,0.15874054034550986,0.008841706157422882
drift_time_mean,fractional,3,645,0.13163012266159058,0.17496598263581595,0.0062810726371777,0.043335859974225364,0.006281072637177698,0.027411222457885742,0.004826661286644998
drift_time_spread,fractional,3,645,0.13163012266159058,0.16193940738836923,0.003896970219212283,0.030309284726778667,0.0038969702192122846,0.026956339677174885,0.005982822915335139
x,fractional,3,645,0.13163012266159058,0.1507886399825414,0.011495403734497367,0.019158517320950825,0.011495403734497369,0.017228166262308758,0.011633007550541504
y,fractional,3,645,0.13163012266159058,0.1382449915011724,0.005623999998988722,0.006614868839581807,0.005623999998988718,0.0045908788839976,0.004989738378404815
drift_time_mean,one,3,11100,0.06454047560691833,0.3565283219019572,0.002196499609692054,0.2919878462950389,0.002196499609692054,0.28393090267976123,0.001988808218559706
n_electrons_interface,one,3,11100,0.06454047560691833,0.26198699076970416,0.002032059295618225,0.19744651516278586,0.0020320592956182297,0.18581516047318777,0.00184853677900701
x,one,3,11100,0.06454047560691833,0.16884938875834146,0.0018278419678685195,0.10430891315142314,0.0018278419678685244,0.11746597786744435,0.0019357055765376419
y,one,3,11100,0.06454047560691833,0.15102525055408478,0.0015297568673302215,0.08648477494716644,0.0015297568673302215,0.10398496687412262,0.001817378610080427
drift_time_spread,one,3,11100,0.06454047560691833,0.08100364605585735,0.0009064978480372428,0.016463170448939007,0.0009064978480372442,0.02022451162338257,0.0011745836186173861
n_electrons_interface,zero,3,13257,0.0529191717505455,0.18845954040686289,0.0021880209388602505,0.13554036865631738,0.0021880209388602505,0.12649189432462057,0.0027074956886167503
x,zero,3,13257,0.0529191717505455,0.081687497595946,0.0007407174960594846,0.028768325845400494,0.0007407174960594847,0.038270791371663414,0.0008602871183481043
drift_time_mean,zero,3,13257,0.0529191717505455,0.08086675157149632,0.0006284233688173669,0.027947579820950825,0.0006284233688173656,0.02861229081948598,0.0006320353167132132
y,zero,3,13257,0.0529191717505455,0.07756152749061584,0.0014897338092326477,0.024642355740070343,0.0014897338092326477,0.03343314925829569,0.001474712596831727
drift_time_spread,zero,3,13257,0.0529191717505455,0.0635300949215889,0.0014044239746920718,0.010610923171043396,0.0014044239746920718,0.012747434278329214,0.00139330710765305
