feature_set,neighbors,target_regime,n_queries,mean_neighbor_label_variance,median_neighbor_label_variance,neighbor_mean_prediction_mse,tree_prediction_mse,mean_neighbor_distance,variance_vs_tree_squared_error_correlation
baseline,10,all,25000,0.1685085892677307,0.20999999344348907,0.20525071024894714,0.18806910180730432,0.15900524168858277,0.45480303662771776
baseline,10,zero,13182,0.1607612520456314,0.20999999344348907,0.1794731765985489,0.1630172614458524,0.16894473223026543,
baseline,10,fractional,659,0.19476212561130524,0.20999999344348907,0.18052099645137787,0.15715113381038018,0.13450585999062908,
baseline,10,one,11159,0.17611004412174225,0.20999999344348907,0.23716184496879578,0.21948843154604727,0.14871065688873428,
baseline,30,all,25000,0.18218062818050385,0.222222238779068,0.19405074417591095,0.18806910180730432,0.20849563767891813,0.5097365305623632
baseline,30,zero,13182,0.17430952191352844,0.2222221940755844,0.16991153359413147,0.1630172614458524,0.2219620349153503,
baseline,30,fractional,659,0.21093975007534027,0.23222221434116364,0.16218656301498413,0.15715113381038018,0.17570066236932974,
baseline,30,one,11159,0.18978029489517212,0.22373253107070923,0.2244478464126587,0.21948843154604727,0.19452465823258516,
baseline,100,all,25000,0.18842564523220062,0.2302878201007843,0.19003839790821075,0.18806910180730432,0.28407325809169814,0.5217309739741418
baseline,100,zero,13182,0.1808006763458252,0.2285362035036087,0.16729618608951569,0.1630172614458524,0.3034205933191481,
baseline,100,fractional,659,0.21816039085388184,0.23722797632217407,0.15917576849460602,0.15715113381038018,0.23770189819027898,
baseline,100,one,11159,0.19567695260047913,0.231440931558609,0.21872615814208984,0.21948843154604727,0.2639569531545882,
all_event_relative,10,all,25000,0.12595050036907196,0.1599999964237213,0.1452966332435608,0.12201475465647894,0.9145789965743383,0.38781348544078753
all_event_relative,10,zero,13182,0.1348264366388321,0.1599999964237213,0.11678649485111237,0.08922303659293775,1.072646048173725,
all_event_relative,10,fractional,659,0.18161672353744507,0.20999999344348907,0.1379842758178711,0.11106690393988213,0.8712305986406366,
all_event_relative,10,one,11159,0.11217807978391647,0.08999999612569809,0.17940717935562134,0.16139776936530922,0.7304161432770169,
all_event_relative,30,all,25000,0.1382444202899933,0.1600000113248825,0.13785947859287262,0.12201475465647894,1.0441056261065271,0.42559225056966404
all_event_relative,30,zero,13182,0.14893686771392822,0.17634233832359314,0.10836838185787201,0.08922303659293775,1.215737449684863,
all_event_relative,30,fractional,659,0.1934853345155716,0.2183414250612259,0.12241917103528976,0.11106690393988213,0.9918416588719469,
all_event_relative,30,one,11159,0.1223512664437294,0.1388888657093048,0.17360879480838776,0.16139776936530922,0.8444453748293484,
all_event_relative,100,all,25000,0.1452515870332718,0.1763000190258026,0.1373269408941269,0.12201475465647894,1.218238235070344,0.42864928351221954
all_event_relative,100,zero,13182,0.15750999748706818,0.1819087266921997,0.1077464297413826,0.08922303659293775,1.4063501963733813,
all_event_relative,100,fractional,659,0.20114746689796448,0.22387395799160004,0.11489523202180862,0.11106690393988213,1.151692378703823,
all_event_relative,100,one,11159,0.12746989727020264,0.14899349212646484,0.17359477281570435,0.16139776936530922,0.999953607903833,
