feature_set,feature,mse_increase_mean,mse_increase_std,n_validation_clusters,n_repeats
all_event_relative,electron_fraction_of_event_sum,0.052673284696146815,0.0004046431803500417,50000,5
all_event_relative,electron_fraction_of_event_max,0.036334558192166855,0.00022757035043258854,50000,5
all_event_relative,drift_time_minus_event_mean,0.03605702240039854,0.0004988869799536794,50000,5
all_event_relative,drift_time_rank_fraction,0.017519037448764815,0.00017275575131150666,50000,5
all_event_relative,event_log_cluster_count,0.0073808795014181664,0.0001524369136855595,50000,5
all_event_relative,x,0.0049864877128817185,0.00011901079185896607,50000,5
all_event_relative,distance_from_event_centroid,0.004738791729960498,9.394097380783813e-05,50000,5
all_event_relative,electron_rank_fraction,0.004316453146066421,5.2798681787343546e-05,50000,5
all_event_relative,n_electrons_interface,0.002812618725929303,8.574624752761858e-05,50000,5
all_event_relative,y,0.0027544784778394393,0.00011615381856068322,50000,5
all_event_relative,x_minus_event_mean,0.0016198805003582422,8.411292506897361e-05,50000,5
all_event_relative,drift_time_mean,0.0013460090888565701,6.377328105381085e-05,50000,5
all_event_relative,drift_time_spread,0.0009395333311350812,4.9654492970411206e-05,50000,5
all_event_relative,y_minus_event_mean,0.000790313569918577,5.498567662398481e-05,50000,5
baseline,n_electrons_interface,0.053367174997146785,0.00042938964405730333,50000,5
baseline,x,0.024827367334175576,0.0004181951406192946,50000,5
baseline,y,0.014641638285459163,0.00019640505401465684,50000,5
baseline,drift_time_mean,0.005661804591943631,0.0001492492684801771,50000,5
baseline,drift_time_spread,0.0022030187107438316,0.00013987150552464291,50000,5
