run_id,run_name,state,created_at,url,config.loss,config.epochs,config.top13_ns,config.batch_size,config.latent_dim,config.model_type,config.phi_hidden,config.rho_hidden,config.learning_rate,summary._runtime,summary._wandb,config.num_workers,summary._step,summary._timestamp,summary.epoch,summary.train_loss,summary.val_loss,summary.val_p_alt_auc,summary.val_p_main_auc,config.val_every,summary.test_loss,summary.test_p_alt_auc,summary.test_p_main_auc,summary.test_mean_brier,summary.test_mean_mae,summary.test_p_alt_brier,summary.test_p_alt_mae,summary.test_p_main_brier,summary.test_p_main_mae,summary.val_mean_brier,summary.val_mean_mae,summary.val_p_alt_brier,summary.val_p_alt_mae,summary.val_p_main_brier,summary.val_p_main_mae,summary.test_event_main_accuracy,summary.test_mean_auc,summary.test_mse,summary.val_event_main_accuracy,summary.val_mean_auc,summary.val_mse,config.seed,config.loss_name,config.scheduler,config.max_epochs,config.pin_memory,config.weight_decay,config.cudnn_benchmark,config.scheduler_t_max,config.scheduler_factor,config.scheduler_min_lr,config.scheduler_patience,config.early_stopping_metric,config.early_stopping_patience,summary.best_epoch,summary.best_val_event_main_accuracy,summary.learning_rate,primary_best,primary_final,primary_best_history_row,history_points,val_loss_best,val_loss_final,nonfinite_history
zzeg2dq9,ld512_phi512_rho512_lr0.001_bs512_seed3,finished,2026-06-22T10:03:19Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/zzeg2dq9,,,,512,512,,512,512,0.001,42484.0,"""{'runtime': 42484}""",4.0,289.0,1782164708.0247746,289.0,0.24893961494551367,0.2697387790183226,0.90261346314209,0.967611541233446,,0.2704928584396839,0.902949850580077,0.9670752213594755,0.08092522993683815,0.15934567153453827,0.09343794733285904,0.1831195205450058,0.06841251254081726,0.13557182252407074,0.08077825605869293,0.15913131833076477,0.09369096159934998,0.18338613212108612,0.06786555051803589,0.13487650454044342,0.7363655925196594,0.9350125359697764,0.08092522621154785,0.7377609838160691,0.935112502187768,0.08077825605869293,3.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,188.0,0.7382076394413218,0.00012067722018278436,0.7382076394413218,0.7377609838160691,188.0,290,0.2688848117242257,0.2697387790183226,False
7xganm8m,ld128_phi512_rho512_lr0.001_bs512_seed1,finished,2026-06-20T04:46:09Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/7xganm8m,,,,512,128,,512,512,0.001,43220.0,"""{'runtime': 43220}""",4.0,445.0,1781973615.5095637,445.0,0.2558741963312605,0.2701869323352973,0.9019825630542376,0.9672933121184828,,0.270690050025781,0.9025580981049692,0.9667905882895717,0.08110086247324944,0.1617049127817154,0.09350059181451796,0.18594487011432648,0.0687011331319809,0.1374649554491043,0.08101945742964745,0.16141518205404282,0.093781478703022,0.18615542352199552,0.06825743615627289,0.1366749405860901,0.7360721691162088,0.9346743431972704,0.08110085874795914,0.7375001630130019,0.93463793758636,0.08101946115493774,1.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,344.0,0.7379631199384463,3.902217351061241e-05,0.7379631199384463,0.7375001630130019,344.0,446,0.2700388182202975,0.2701869323352973,False
f3bwe238,ld512_phi512_rho512_lr0.001_bs512_seed3,finished,2026-06-17T21:30:29Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/f3bwe238,,,,512,512,,512,512,0.001,64255.0,"""{'runtime': 64255}""",4.0,393.0,1781795711.4099488,393.0,0.2774161394733472,0.2814540169884761,0.8916207792810278,0.9644620272731332,,0.28182145851353807,0.8923305000827809,0.9639477526787632,0.08488399907946587,0.17306429147720337,0.09787097573280334,0.19916684925556183,0.07189702242612839,0.1469617336988449,0.08477045595645905,0.1727655753493309,0.09822700172662736,0.19947195053100583,0.07131391018629074,0.14605920016765594,0.7349799820033646,0.928139126380772,0.08488400280475616,0.7351364744852049,0.9280414032770804,0.08477045595645905,3.0,masked_bce,cosine,500.0,True,1e-05,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,292.0,0.7377186004355707,0.0009263937620949688,0.7377186004355707,0.7351364744852049,292.0,394,0.2720490316301584,0.2814540169884761,False
ia7tiqjp,ld256_phi256_rho512_lr0.003_bs512_seed1,finished,2026-06-20T16:46:37Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/ia7tiqjp,,,,512,256,,256,512,0.003,50504.0,"""{'runtime': 50504}""",4.0,500.0,1782024131.4564288,500.0,0.26827916459783974,0.2753868883351485,0.898353286499285,0.9656536464946208,,0.2757965190460285,0.8990782485504554,0.9650916591764634,0.08283855020999908,0.16643302142620087,0.09509818255901337,0.1897969096899033,0.0705789178609848,0.14306913316249847,0.08272227272391319,0.1662086769938469,0.09538497775793076,0.19006626307964325,0.07005956768989563,0.14235109090805054,0.7354038158083489,0.9320849538634596,0.08283855766057968,0.7364405785005412,0.932003466496953,0.08272227644920349,1.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,453.0,0.7376762170550724,0.0015005000000000645,0.7376762170550724,0.7364405785005412,453.0,501,0.2682024858395259,0.2753868883351485,False
v92rrw4y,ld512_phi512_rho512_lr0.001_bs512_seed2,finished,2026-06-21T20:53:23Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/v92rrw4y,,,,512,512,,512,512,0.001,47391.0,"""{'runtime': 47391}""",4.0,386.0,1782122219.4909165,386.0,0.25613737537476294,0.275278371522824,0.8981489422955078,0.966276857887679,,0.27594027514259023,0.8989595975734317,0.9656744387706307,0.08269023522734642,0.16270820051431656,0.09545542299747468,0.18634626269340515,0.06992504745721817,0.13907013833522797,0.08257346972823143,0.16245165467262268,0.09580809623003006,0.1865735650062561,0.0693388432264328,0.13832974433898926,0.7357950470129497,0.9323170181720312,0.08269023895263672,0.7366068517624966,0.9322129000915934,0.08257347345352173,2.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,285.0,0.7376468747147272,0.0007272682546199819,0.7376468747147272,0.7366068517624966,285.0,387,0.2693901530653238,0.275278371522824,False
3rirpasl,ld256_phi512_rho512_lr0.001_bs512_seed2,finished,2026-06-19T14:27:48Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/3rirpasl,,,,512,256,,512,512,0.001,51496.0,"""{'runtime': 51496}""",4.0,494.0,1781930391.0980208,494.0,0.2608870720445513,0.2763255293915669,0.8969990065231513,0.9662361512593084,,0.27669488281011584,0.8976772442850887,0.965813447042543,0.08293695747852325,0.1653210073709488,0.09602519124746324,0.19180795550346377,0.06984872370958328,0.13883405923843384,0.08293164893984795,0.16516570001840591,0.09639405459165572,0.19212868809700012,0.06946924328804016,0.1382027119398117,0.7359547997548285,0.9317453456638158,0.08293695747852325,0.7368546315254104,0.93161757889123,0.08293164521455765,2.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,393.0,0.7376468747147272,0.0007272682546199306,0.7376468747147272,0.7368546315254104,393.0,495,0.27265761425097784,0.2763255293915669,False
lripyoma,ld512_phi512_rho512_lr0.003_bs512_seed3,finished,2026-06-18T15:21:32Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/lripyoma,,,,512,512,,512,512,0.003,61319.0,"""{'runtime': 61319}""",4.0,500.0,1781857041.9788167,500.0,0.26986701775859184,0.27741962442795437,0.8966639983456548,0.9650738036624474,,0.27793729461729527,0.8974650730679147,0.9645916998661755,0.08357016369700432,0.16795524209737778,0.09592504054307938,0.192742720246315,0.07121528685092926,0.14316776394844055,0.08352266624569893,0.16765964031219482,0.09626928716897964,0.19293634593486783,0.07077604532241821,0.1423829346895218,0.7354070760683872,0.9310283864670452,0.08357015997171402,0.7360004433953652,0.9308689010040512,0.08352266252040863,3.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,445.0,0.7371480549288612,0.0015005000000000645,0.7371480549288612,0.7360004433953652,445.0,501,0.2689876659462849,0.27741962442795437,False
p9bpf0el,ld256_phi256_rho512_lr0.001_bs256_seed2,finished,2026-06-19T08:23:48Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/p9bpf0el,,,,256,256,,256,512,0.001,21837.0,"""{'runtime': 21837}""",4.0,199.0,1781878891.1269186,199.0,0.2561132778734694,0.27036090595360296,0.9013582147682824,0.9672656273359956,,0.27068489546374147,0.9020019178506868,0.9668385798604782,0.08123365417122841,0.16225294023752213,0.09380892664194108,0.18695855140686035,0.06865838170051575,0.1375473290681839,0.08117297664284706,0.16205783933401108,0.09407376497983932,0.18726873397827148,0.0682721883058548,0.13684694468975067,0.7369100559460623,0.9344202488555824,0.08123365789651871,0.7367861660646053,0.934311921052139,0.08117297291755676,2.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,98.0,0.7370046034871741,2.5397918003025264e-06,0.7370046034871741,0.7367861660646053,98.0,200,0.27036090595360296,0.27036090595360296,False
7279afm9,ld256_phi256_rho512_lr0.003_bs512_seed2,finished,2026-06-22T21:51:26Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/7279afm9,,,,512,256,,256,512,0.003,64357.0,"""{'runtime': 64357}""",4.0,292.0,1782229067.749026,292.0,0.2640499726939781,0.2727728223303954,0.900187925824839,0.9664650432387156,,0.2729316083341837,0.9009471030138289,0.9660578240573016,0.08187582716345787,0.16299962252378464,0.0941532701253891,0.1865476071834564,0.06959838420152664,0.13945163786411283,0.08185867592692375,0.16288449615240097,0.09451030194759368,0.1869321167469025,0.06920704990625381,0.13883687555789948,0.7362612641984325,0.9335024635355652,0.08187582343816757,0.7361862782175507,0.9333264845317772,0.08185867220163345,2.0,masked_bce,cosine,500.0,True,1e-06,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,191.0,0.7369980829670975,0.0006191160141874335,0.7369980829670975,0.7361862782175507,191.0,293,0.2706577042490244,0.2727728223303954,False
ji979hug,ld128_phi512_rho512_lr0.001_bs512_seed3,finished,2026-06-16T20:31:27Z,https://wandb.ai/senadeep5-clemson-university/xenon-deepset/runs/ji979hug,,,,512,128,,512,512,0.001,26987.0,"""{'runtime': 26987}""",4.0,278.0,1781668507.4290786,278.0,0.2632757332628974,0.27563466678063075,0.8971306247831061,0.966012350027446,,0.27660523864130176,0.8972319183298081,0.9654790876023888,0.0830136388540268,0.16571664065122604,0.0957946851849556,0.19062291085720065,0.07023259252309799,0.14081037044525146,0.08285417407751083,0.1653732880949974,0.09600520879030228,0.1907104849815369,0.06970313936471939,0.14003609120845795,0.7355798698504192,0.9313555029660984,0.0830136314034462,0.736209100037819,0.931571487405276,0.08285418152809143,3.0,masked_bce,cosine,500.0,True,0.0,True,40.0,0.5,1e-06,8.0,val_event_main_accuracy,100.0,177.0,0.7369850419269441,7.149673872728852e-06,0.7369850419269441,0.736209100037819,177.0,279,0.27563466678063075,0.27563466678063075,False
